customer_id,months_since_last_txn,avg_spending_3m,avg_spending_prev3m,spending_trend_ratio,monthly_txn_count_3m,num_missed_months,days_since_app_login,loyalty_points_balance,num_active_benefits,years_as_customer,card_tier,primary_spending_category,payment_method,engagement_level,inactive_risk
HCC_00023,0.4,133.0,113.0,1.179,11.0,0,47.0,6597.0,2,0.1,Blue,online,offline_swipe,low,0
HCC_00024,0.4,602.0,546.0,1.102,35.0,0,22.0,27526.0,4,3.1,Blue,convenience,app,high,0
HCC_00025,0.8,7.0,286.0,0.024,5.0,4,91.0,1188.0,5,5.0,Blue,convenience,offline_nfc,low,1
HCC_00026,0.8,108.0,100.0,1.084,11.0,1,55.0,5625.0,9,0.4,Black,shopping,offline_swipe,low,0
HCC_00027,2.0,53.0,85.0,0.619,7.0,2,46.0,17377.0,4,4.5,Red,convenience,offline_nfc,low,1
HCC_00028,4.1,105.0,212.0,0.493,11.0,5,191.0,23366.0,7,0.5,The,online,offline_nfc,high,1
HCC_00029,0.1,56.0,65.0,0.863,8.0,0,13.0,3973.0,8,1.4,Black,travel,online,medium,0
HCC_00030,0.4,242.0,232.0,1.043,16.0,0,27.0,45.0,6,3.3,Blue,dining,app,medium,0
HCC_00031,1.3,52.0,122.0,0.428,5.0,1,13.0,30372.0,2,0.4,Blue,dining,app,low,1
HCC_00032,0.3,127.0,112.0,1.131,12.0,0,23.0,18665.0,5,3.9,Blue,convenience,offline_swipe,medium,0
HCC_00033,0.3,217.0,189.0,1.149,12.0,0,6.0,3872.0,3,3.0,Red,online,online,high,0
HCC_00034,0.7,405.0,434.0,0.934,23.0,1,45.0,2483.0,4,4.3,Red,dining,offline_nfc,low,1
HCC_00035,0.2,82.0,125.0,0.66,9.0,0,4.0,2879.0,11,0.3,Red,online,offline_swipe,high,0
HCC_00036,0.3,73.0,117.0,0.626,6.0,0,40.0,5796.0,5,1.2,Black,dining,offline_nfc,low,0
HCC_00037,0.6,524.0,427.0,1.228,34.0,2,35.0,2441.0,9,6.6,Black,shopping,online,low,0
HCC_00038,2.1,111.0,237.0,0.467,9.0,3,183.0,7951.0,5,0.1,Red,online,offline_swipe,low,1
HCC_00039,0.9,105.0,85.0,1.239,10.0,0,55.0,1540.0,5,7.0,Red,online,offline_swipe,low,0
HCC_00040,0.4,80.0,92.0,0.87,6.0,0,52.0,607.0,5,5.2,Blue,shopping,offline_swipe,high,0
HCC_00041,0.8,114.0,128.0,0.891,12.0,0,26.0,3281.0,7,0.4,Red,online,app,medium,0
HCC_00042,1.5,50.0,122.0,0.408,4.0,3,57.0,1382.0,2,0.7,Blue,convenience,offline_nfc,low,1
HCC_00043,0.4,27.0,31.0,0.876,3.0,0,16.0,3241.0,5,6.0,Blue,convenience,offline_swipe,medium,1
HCC_00044,0.8,35.0,32.0,1.104,8.0,0,12.0,20015.0,4,2.6,Red,convenience,app,low,0
HCC_00045,0.0,23.0,45.0,0.519,4.0,0,1.0,3900.0,4,2.2,Blue,shopping,offline_nfc,high,0
HCC_00046,0.9,45.0,42.0,1.07,6.0,0,83.0,16164.0,4,1.2,Blue,dining,offline_swipe,low,0
HCC_00047,0.5,62.0,65.0,0.947,7.0,0,12.0,1785.0,6,2.3,Red,dining,online,medium,0
HCC_00048,0.4,132.0,182.0,0.727,9.0,0,56.0,19077.0,5,1.8,Red,dining,offline_swipe,low,0
HCC_00049,0.9,94.0,80.0,1.176,7.0,0,12.0,22952.0,5,2.1,Blue,dining,offline_swipe,high,0
HCC_00050,0.7,39.0,149.0,0.259,8.0,3,27.0,4804.0,8,7.1,Black,dining,offline_swipe,high,0
HCC_00051,1.0,49.0,48.0,1.024,7.0,0,64.0,233.0,8,0.1,Black,dining,offline_nfc,high,0
HCC_00052,0.9,142.0,101.0,1.406,11.0,0,34.0,11602.0,8,8.7,The,travel,offline_swipe,low,0
HCC_00053,0.3,197.0,146.0,1.352,15.0,0,65.0,3069.0,3,1.4,Blue,dining,offline_nfc,low,1
HCC_00054,1.4,152.0,147.0,1.037,10.0,1,95.0,4095.0,1,1.3,Blue,shopping,online,low,1
HCC_00055,0.8,42.0,51.0,0.829,9.0,0,20.0,30865.0,4,4.5,Blue,dining,offline_swipe,high,0
HCC_00056,0.2,76.0,104.0,0.729,10.0,0,14.0,517.0,3,7.9,Blue,dining,offline_swipe,medium,0
HCC_00057,0.7,526.0,635.0,0.829,31.0,0,142.0,8619.0,3,3.3,Red,travel,online,medium,0
HCC_00058,0.1,117.0,108.0,1.083,11.0,0,10.0,7147.0,4,1.1,Red,convenience,offline_nfc,medium,0
HCC_00059,0.2,49.0,73.0,0.678,5.0,0,14.0,2664.0,10,0.4,Black,travel,offline_swipe,medium,0
HCC_00060,0.5,127.0,111.0,1.147,14.0,0,51.0,3351.0,5,2.2,Black,travel,offline_swipe,low,0
HCC_00061,1.2,153.0,98.0,1.56,10.0,1,278.0,349.0,1,0.3,Blue,online,app,low,1
HCC_00062,1.1,87.0,97.0,0.901,5.0,1,62.0,3019.0,5,7.6,Red,convenience,app,low,0
HCC_00063,0.6,55.0,107.0,0.517,11.0,0,12.0,1602.0,4,1.4,Red,dining,online,medium,0
HCC_00064,1.2,15.0,29.0,0.517,4.0,3,365.0,1622.0,4,5.2,Blue,dining,offline_swipe,low,1
HCC_00065,1.4,48.0,42.0,1.153,4.0,1,20.0,1588.0,6,6.5,Blue,travel,online,medium,0
HCC_00066,0.7,87.0,97.0,0.902,7.0,1,73.0,1450.0,7,3.4,Red,travel,offline_nfc,low,0
HCC_00067,0.3,114.0,96.0,1.183,10.0,0,11.0,1959.0,4,5.3,Red,convenience,offline_nfc,medium,1
HCC_00068,0.8,53.0,70.0,0.76,6.0,1,160.0,3668.0,3,3.3,Red,dining,offline_swipe,low,1
HCC_00069,1.0,148.0,127.0,1.169,18.0,1,105.0,3660.0,8,1.7,The,online,offline_swipe,low,1
HCC_00070,0.9,100.0,115.0,0.873,9.0,1,19.0,14032.0,5,5.0,Red,shopping,offline_nfc,medium,0
HCC_00071,0.0,156.0,223.0,0.7,12.0,0,1.0,3468.0,4,4.7,Red,online,online,high,0
HCC_00072,1.3,81.0,101.0,0.8,8.0,2,282.0,5629.0,4,0.6,Red,shopping,offline_swipe,low,1
HCC_00073,0.0,70.0,125.0,0.561,6.0,0,17.0,14421.0,2,5.7,Blue,dining,offline_nfc,low,0
HCC_00074,1.0,108.0,71.0,1.517,11.0,0,54.0,1659.0,7,1.8,Red,shopping,offline_swipe,high,0
HCC_00075,0.4,180.0,202.0,0.891,12.0,0,161.0,2906.0,9,10.7,Black,dining,app,low,0
HCC_00076,0.0,165.0,148.0,1.113,13.0,0,42.0,431.0,4,7.4,Red,dining,offline_nfc,low,0
HCC_00077,0.8,166.0,219.0,0.759,12.0,1,17.0,1002.0,3,2.9,Red,convenience,app,high,0
HCC_00078,0.6,97.0,161.0,0.604,5.0,0,27.0,1427.0,4,3.7,Blue,shopping,offline_swipe,high,0
HCC_00079,0.8,149.0,175.0,0.85,8.0,0,18.0,30991.0,6,0.6,Red,dining,app,medium,0
HCC_00080,0.4,105.0,84.0,1.25,10.0,0,97.0,8437.0,7,2.7,Blue,shopping,offline_nfc,medium,0
HCC_00081,0.4,85.0,111.0,0.764,9.0,0,100.0,2312.0,2,2.3,Blue,travel,offline_swipe,low,0
HCC_00082,0.7,169.0,256.0,0.659,15.0,0,259.0,4278.0,6,1.8,Red,dining,offline_swipe,low,0
HCC_00083,0.4,52.0,54.0,0.967,5.0,0,28.0,129.0,4,2.5,Blue,dining,offline_nfc,medium,1
HCC_00084,0.6,82.0,77.0,1.07,9.0,0,19.0,22634.0,6,16.6,Black,convenience,offline_nfc,medium,0
HCC_00085,0.3,239.0,169.0,1.413,20.0,0,10.0,19084.0,9,0.6,The,dining,app,high,0
HCC_00086,0.3,183.0,178.0,1.026,14.0,0,119.0,11748.0,9,0.4,Black,online,offline_nfc,high,0
HCC_00087,0.1,52.0,47.0,1.113,5.0,0,38.0,114.0,4,2.4,Blue,dining,offline_swipe,low,0
HCC_00088,0.8,117.0,103.0,1.136,8.0,0,128.0,3597.0,4,1.6,Red,travel,offline_swipe,low,1
HCC_00089,0.9,68.0,118.0,0.574,5.0,1,128.0,11727.0,6,4.1,Black,travel,offline_nfc,low,1
HCC_00090,1.5,12.0,19.0,0.631,6.0,4,45.0,11377.0,5,1.1,Red,dining,offline_nfc,low,1
HCC_00091,0.6,64.0,107.0,0.595,12.0,1,96.0,727.0,9,7.8,Black,travel,offline_nfc,low,0
HCC_00092,0.5,42.0,80.0,0.52,6.0,0,9.0,2152.0,3,6.6,Blue,shopping,online,low,0
HCC_00093,0.3,111.0,96.0,1.159,11.0,0,44.0,273.0,7,0.8,Red,shopping,offline_nfc,low,1
HCC_00094,0.7,341.0,339.0,1.007,22.0,1,35.0,45943.0,4,0.5,Red,convenience,app,low,0
HCC_00095,0.8,39.0,41.0,0.944,10.0,0,115.0,16352.0,7,4.5,Red,online,offline_nfc,medium,0
HCC_00096,0.9,7.0,47.0,0.142,3.0,6,13.0,27199.0,3,0.1,Blue,dining,offline_nfc,medium,0
HCC_00097,0.4,22.0,14.0,1.537,5.0,0,57.0,808.0,5,1.2,Red,travel,offline_swipe,low,0
HCC_00098,0.7,57.0,87.0,0.652,6.0,0,25.0,20172.0,7,8.0,Black,dining,online,medium,0
HCC_00099,0.2,143.0,93.0,1.536,13.0,0,45.0,7788.0,4,0.5,Black,dining,offline_nfc,medium,0
HCC_00100,0.6,30.0,61.0,0.485,4.0,0,115.0,30116.0,4,3.4,Blue,dining,offline_nfc,medium,0
HCC_00101,0.7,149.0,221.0,0.676,13.0,0,33.0,3514.0,7,2.5,Blue,travel,offline_swipe,medium,0
HCC_00102,0.3,47.0,181.0,0.259,4.0,0,33.0,16650.0,4,13.3,Blue,travel,offline_nfc,medium,0
HCC_00103,0.7,119.0,116.0,1.029,11.0,0,33.0,13569.0,5,1.8,Red,shopping,offline_swipe,low,1
HCC_00104,1.5,40.0,68.0,0.59,4.0,1,49.0,24742.0,3,6.8,Blue,online,offline_nfc,low,1
HCC_00105,1.2,124.0,207.0,0.598,10.0,3,16.0,12580.0,5,9.4,Blue,convenience,offline_nfc,high,0
HCC_00106,0.3,46.0,90.0,0.508,5.0,0,28.0,8822.0,2,0.7,Blue,dining,online,medium,0
HCC_00107,0.4,66.0,57.0,1.153,9.0,0,127.0,8602.0,4,2.6,Red,dining,offline_swipe,low,1
HCC_00108,0.8,32.0,28.0,1.133,5.0,0,43.0,6020.0,6,3.0,Red,travel,offline_swipe,medium,0
HCC_00109,0.6,132.0,90.0,1.464,12.0,0,72.0,13443.0,7,2.6,Black,shopping,online,medium,0
HCC_00110,0.6,119.0,167.0,0.714,7.0,1,106.0,3130.0,8,7.0,Blue,dining,offline_nfc,low,0
HCC_00111,0.3,667.0,676.0,0.986,36.0,0,26.0,12587.0,5,0.2,Red,dining,app,medium,0
HCC_00112,0.0,61.0,115.0,0.533,7.0,0,48.0,3067.0,5,1.1,Red,shopping,offline_nfc,low,1
HCC_00113,0.7,48.0,59.0,0.819,5.0,1,4.0,28317.0,5,0.8,Red,shopping,offline_nfc,high,0
HCC_00114,0.2,32.0,42.0,0.764,5.0,0,195.0,18544.0,3,0.4,Red,travel,offline_swipe,low,1
HCC_00115,0.1,210.0,198.0,1.059,16.0,0,15.0,1821.0,8,1.0,Black,convenience,offline_nfc,medium,0
HCC_00116,1.3,27.0,22.0,1.225,5.0,1,365.0,9502.0,5,1.5,Blue,online,offline_nfc,low,1
HCC_00117,0.6,173.0,142.0,1.217,10.0,0,92.0,1629.0,5,1.6,Blue,convenience,offline_nfc,low,1
HCC_00118,0.6,117.0,175.0,0.667,9.0,0,20.0,8063.0,4,0.1,Blue,shopping,offline_nfc,high,0
HCC_00119,1.4,189.0,155.0,1.22,13.0,1,91.0,1412.0,5,2.9,Red,shopping,online,low,1
HCC_00120,0.6,69.0,76.0,0.907,9.0,0,1.0,1289.0,2,0.7,Blue,dining,app,high,0
HCC_00121,0.1,142.0,172.0,0.823,11.0,0,29.0,20918.0,4,2.1,Red,online,app,low,1
HCC_00122,0.4,74.0,104.0,0.707,9.0,0,66.0,2879.0,3,2.6,Blue,shopping,offline_nfc,medium,1
HCC_00123,1.0,51.0,68.0,0.752,8.0,0,13.0,3851.0,6,3.6,Black,dining,offline_swipe,medium,0
HCC_00124,0.5,694.0,481.0,1.443,38.0,0,25.0,13137.0,5,1.9,Red,travel,app,medium,0
HCC_00125,0.0,111.0,110.0,1.012,11.0,0,21.0,836.0,9,0.3,The,shopping,app,high,0
HCC_00126,0.3,197.0,203.0,0.972,11.0,0,22.0,6541.0,4,0.0,Red,online,app,medium,0
HCC_00127,1.8,13.0,16.0,0.841,5.0,2,53.0,8813.0,5,2.0,Red,dining,offline_nfc,medium,1
HCC_00128,0.2,586.0,354.0,1.654,32.0,0,13.0,600.0,6,6.3,Black,shopping,online,high,0
HCC_00129,0.7,542.0,413.0,1.312,31.0,1,14.0,13668.0,7,14.0,Black,online,app,medium,0
HCC_00130,0.4,79.0,112.0,0.704,8.0,0,51.0,14873.0,3,5.2,Red,shopping,online,low,0
HCC_00131,0.0,167.0,199.0,0.838,10.0,0,17.0,4707.0,8,1.8,Black,shopping,app,low,1
HCC_00132,0.8,122.0,142.0,0.856,7.0,1,181.0,12508.0,4,10.7,Blue,travel,offline_swipe,low,0
HCC_00133,0.7,63.0,65.0,0.964,6.0,0,77.0,21262.0,5,9.6,Red,travel,offline_nfc,low,0
HCC_00134,0.5,120.0,169.0,0.71,9.0,0,11.0,12685.0,6,5.8,Red,dining,offline_nfc,high,0
HCC_00135,0.9,60.0,57.0,1.052,4.0,0,61.0,12590.0,3,9.9,Red,dining,online,low,0
HCC_00136,0.9,122.0,90.0,1.356,9.0,0,131.0,3063.0,8,5.5,The,shopping,offline_nfc,low,0
HCC_00137,2.4,118.0,224.0,0.526,7.0,3,365.0,10145.0,1,3.0,Blue,dining,offline_swipe,low,1
HCC_00138,0.1,139.0,238.0,0.582,15.0,0,1.0,5130.0,4,6.2,Red,shopping,app,high,0
HCC_00139,0.6,40.0,52.0,0.775,4.0,1,44.0,1898.0,4,4.0,Blue,shopping,offline_nfc,medium,1
HCC_00140,0.6,56.0,71.0,0.789,6.0,0,24.0,6813.0,7,9.2,Black,convenience,online,medium,0
HCC_00141,0.6,99.0,65.0,1.52,10.0,0,18.0,5034.0,5,1.0,Red,travel,app,low,0
HCC_00142,0.3,241.0,197.0,1.221,15.0,0,35.0,5814.0,6,0.6,Red,shopping,offline_swipe,low,1
HCC_00143,1.0,49.0,41.0,1.203,6.0,0,67.0,2386.0,2,2.4,Blue,dining,offline_swipe,low,0
HCC_00144,0.3,122.0,145.0,0.841,13.0,0,61.0,18274.0,4,0.5,Red,shopping,offline_nfc,medium,0
HCC_00145,0.8,166.0,199.0,0.834,12.0,0,28.0,23056.0,5,2.5,Red,dining,online,low,0
HCC_00146,1.6,49.0,102.0,0.484,4.0,2,31.0,21354.0,4,4.5,Red,online,offline_nfc,low,1
HCC_00147,1.0,283.0,245.0,1.155,17.0,1,84.0,1195.0,6,7.6,Red,dining,offline_nfc,high,0
HCC_00148,1.3,92.0,86.0,1.067,7.0,1,18.0,12168.0,4,14.0,Red,convenience,offline_nfc,high,0
HCC_00149,0.2,120.0,92.0,1.306,12.0,0,53.0,1688.0,5,1.5,Red,travel,offline_swipe,low,0
HCC_00150,1.7,57.0,67.0,0.857,6.0,2,229.0,1768.0,6,1.9,The,convenience,offline_nfc,low,1
HCC_00151,0.4,181.0,206.0,0.877,15.0,0,143.0,14789.0,3,1.8,Blue,convenience,offline_nfc,low,1
HCC_00152,0.8,48.0,49.0,0.971,7.0,0,12.0,1199.0,2,0.2,Blue,convenience,offline_nfc,low,1
HCC_00153,0.5,201.0,169.0,1.188,15.0,0,44.0,2586.0,8,0.7,Black,travel,offline_nfc,low,0
HCC_00154,2.4,49.0,103.0,0.479,9.0,2,245.0,1023.0,5,0.4,Red,dining,offline_swipe,low,1
HCC_00155,0.9,63.0,55.0,1.141,10.0,0,207.0,22092.0,8,3.3,Black,travel,offline_swipe,medium,0
HCC_00156,0.4,51.0,56.0,0.914,5.0,0,52.0,3969.0,3,2.2,Blue,dining,offline_nfc,medium,1
HCC_00157,0.7,199.0,331.0,0.602,12.0,1,42.0,24810.0,6,11.2,Red,shopping,offline_swipe,high,0
HCC_00158,1.1,32.0,107.0,0.295,4.0,1,66.0,9702.0,3,0.1,Blue,convenience,online,low,1
HCC_00159,0.5,36.0,41.0,0.879,13.0,1,9.0,8651.0,1,1.3,Blue,travel,app,low,0
HCC_00160,0.1,157.0,116.0,1.354,15.0,0,89.0,10192.0,1,2.0,Blue,dining,offline_swipe,low,1
HCC_00161,0.2,162.0,114.0,1.422,13.0,0,24.0,3708.0,8,3.6,Black,convenience,offline_nfc,low,0
HCC_00162,0.7,1484.0,1445.0,1.027,77.0,0,47.0,28248.0,4,1.0,Blue,dining,offline_nfc,low,1
HCC_00163,0.4,207.0,137.0,1.509,12.0,0,6.0,7192.0,5,1.5,Red,convenience,offline_nfc,medium,0
HCC_00164,0.5,98.0,108.0,0.907,11.0,0,103.0,8000.0,9,1.1,The,convenience,online,low,0
HCC_00165,1.2,411.0,341.0,1.206,23.0,1,94.0,1238.0,4,4.6,Red,dining,offline_swipe,low,0
HCC_00166,0.6,20.0,25.0,0.785,9.0,0,314.0,38996.0,6,1.1,Red,dining,offline_swipe,low,1
HCC_00167,0.8,75.0,98.0,0.766,5.0,0,52.0,4202.0,2,5.0,Blue,online,offline_swipe,low,0
HCC_00168,0.6,322.0,449.0,0.717,22.0,1,101.0,1856.0,3,5.0,Blue,dining,offline_nfc,high,1
HCC_00169,1.9,30.0,100.0,0.302,4.0,3,365.0,9365.0,5,3.0,Red,online,offline_nfc,medium,1
HCC_00170,1.4,30.0,23.0,1.306,5.0,1,3.0,15033.0,6,1.5,Blue,shopping,offline_nfc,low,0
HCC_00171,0.0,58.0,80.0,0.728,5.0,0,0.0,1448.0,5,0.5,Red,shopping,app,high,0
HCC_00172,0.5,238.0,350.0,0.68,18.0,0,7.0,18309.0,5,2.3,Red,travel,offline_swipe,medium,1
HCC_00173,0.3,84.0,148.0,0.566,6.0,0,66.0,7229.0,5,4.5,Red,shopping,offline_nfc,low,0
HCC_00174,0.7,40.0,47.0,0.859,6.0,0,41.0,25187.0,3,20.0,Blue,shopping,online,low,0
HCC_00175,0.8,107.0,74.0,1.449,11.0,0,49.0,907.0,6,1.5,Black,travel,offline_nfc,low,0
HCC_00176,0.1,144.0,93.0,1.548,11.0,0,10.0,10921.0,11,0.6,The,shopping,online,medium,0
HCC_00177,3.5,62.0,146.0,0.422,6.0,5,365.0,6720.0,2,0.4,Red,dining,online,low,1
HCC_00178,0.0,217.0,266.0,0.814,15.0,0,101.0,22554.0,6,8.9,Blue,convenience,offline_nfc,low,1
HCC_00179,0.7,129.0,212.0,0.61,8.0,0,225.0,6964.0,3,2.7,Blue,shopping,offline_swipe,low,1
HCC_00180,0.4,159.0,131.0,1.217,10.0,0,56.0,6904.0,2,1.4,Blue,travel,online,low,0
HCC_00181,0.7,31.0,31.0,1.006,5.0,0,12.0,8090.0,6,2.3,Blue,shopping,offline_nfc,medium,0
HCC_00182,0.1,23.0,31.0,0.729,6.0,0,54.0,10443.0,3,1.6,Blue,travel,offline_nfc,high,0
HCC_00183,0.9,158.0,168.0,0.942,11.0,0,77.0,12093.0,4,2.2,Red,dining,offline_swipe,low,0
HCC_00184,0.9,29.0,37.0,0.777,5.0,0,69.0,9001.0,6,3.9,Red,online,offline_nfc,low,1
HCC_00185,0.5,107.0,76.0,1.404,10.0,0,52.0,2860.0,5,1.0,Blue,shopping,offline_swipe,low,0
HCC_00186,0.5,126.0,116.0,1.084,8.0,0,9.0,12493.0,5,5.4,Blue,online,online,medium,0
HCC_00187,0.8,49.0,44.0,1.121,8.0,1,30.0,2871.0,4,6.3,Red,convenience,offline_nfc,medium,0
HCC_00188,4.9,7.0,56.0,0.12,5.0,5,103.0,40950.0,8,0.6,Black,travel,online,low,1
HCC_00189,1.1,76.0,85.0,0.9,8.0,1,36.0,9471.0,5,0.6,Blue,shopping,offline_nfc,low,1
HCC_00190,1.4,253.0,164.0,1.545,17.0,1,26.0,1661.0,3,2.3,Red,dining,app,medium,0
HCC_00191,0.9,281.0,213.0,1.318,17.0,0,6.0,19568.0,3,5.4,Blue,shopping,online,high,0
HCC_00192,2.0,65.0,178.0,0.366,5.0,3,29.0,22607.0,4,1.8,Red,travel,online,low,1
HCC_00193,0.2,112.0,135.0,0.826,10.0,0,6.0,1973.0,5,20.0,Black,shopping,offline_nfc,medium,0
HCC_00194,1.3,28.0,50.0,0.56,6.0,1,140.0,6290.0,5,6.6,Blue,dining,offline_nfc,medium,1
HCC_00195,0.2,77.0,54.0,1.433,7.0,0,41.0,9143.0,7,0.2,Black,shopping,offline_swipe,low,0
HCC_00196,0.2,84.0,85.0,0.993,9.0,0,107.0,19960.0,8,3.5,Black,dining,online,low,0
HCC_00197,1.0,105.0,152.0,0.69,8.0,0,78.0,17107.0,6,5.3,Red,shopping,offline_swipe,low,1
HCC_00198,1.3,111.0,119.0,0.93,11.0,1,37.0,75832.0,2,0.5,Blue,shopping,offline_swipe,medium,1
HCC_00199,2.7,3.0,24.0,0.138,3.0,5,250.0,6561.0,4,7.6,Black,dining,offline_nfc,medium,1
HCC_00200,1.0,35.0,58.0,0.595,4.0,1,198.0,24834.0,4,1.0,Red,dining,app,low,0
HCC_00201,0.8,223.0,239.0,0.931,12.0,0,11.0,2439.0,4,0.9,Blue,dining,offline_nfc,medium,0
HCC_00202,0.1,114.0,97.0,1.174,13.0,0,44.0,4095.0,5,3.8,Blue,travel,online,low,0
HCC_00203,1.3,12.0,35.0,0.338,5.0,5,45.0,4491.0,10,0.3,Red,online,offline_nfc,low,1
HCC_00204,0.1,677.0,840.0,0.806,38.0,0,45.0,679.0,8,4.2,Black,dining,app,low,0
HCC_00205,0.4,174.0,142.0,1.223,17.0,0,0.0,5304.0,9,1.1,The,travel,app,high,0
HCC_00206,0.9,72.0,149.0,0.485,8.0,1,72.0,15733.0,6,1.0,Red,dining,offline_swipe,low,1
HCC_00207,1.3,174.0,176.0,0.989,10.0,1,17.0,10177.0,7,4.8,Black,travel,app,low,0
HCC_00208,0.9,64.0,68.0,0.94,6.0,0,25.0,12451.0,5,2.7,Blue,dining,online,medium,0
HCC_00209,0.6,102.0,71.0,1.434,8.0,0,9.0,15737.0,7,5.1,Black,convenience,online,medium,0
HCC_00210,0.8,508.0,597.0,0.851,32.0,0,105.0,3680.0,6,3.1,Red,convenience,offline_nfc,low,1
HCC_00211,0.9,176.0,203.0,0.869,15.0,0,2.0,15063.0,4,8.6,Blue,travel,online,high,0
HCC_00212,0.9,248.0,211.0,1.176,17.0,0,147.0,20402.0,5,6.4,Red,dining,offline_swipe,medium,1
HCC_00213,1.4,105.0,202.0,0.522,8.0,1,21.0,32132.0,4,2.0,Black,convenience,offline_swipe,low,0
HCC_00214,1.3,35.0,41.0,0.854,6.0,1,48.0,2797.0,2,4.2,Blue,dining,offline_nfc,low,1
HCC_00215,1.3,198.0,253.0,0.783,13.0,1,17.0,22590.0,5,0.5,Blue,shopping,app,low,0
HCC_00216,0.5,40.0,46.0,0.878,4.0,0,77.0,25145.0,7,4.8,Blue,convenience,offline_nfc,low,0
HCC_00217,0.3,188.0,160.0,1.175,14.0,0,63.0,8429.0,4,0.5,Black,travel,offline_swipe,low,0
HCC_00218,1.1,37.0,34.0,1.086,6.0,1,10.0,9113.0,9,0.1,Black,convenience,offline_nfc,medium,0
HCC_00219,1.2,13.0,18.0,0.695,3.0,1,9.0,2473.0,5,2.1,Blue,travel,offline_nfc,medium,0
HCC_00220,0.5,136.0,141.0,0.961,13.0,0,16.0,11708.0,4,1.7,Red,convenience,offline_swipe,low,0
HCC_00221,0.8,78.0,57.0,1.367,10.0,0,18.0,13607.0,4,4.5,Red,dining,app,medium,0
HCC_00222,3.3,15.0,22.0,0.671,6.0,4,45.0,7709.0,5,0.3,Red,shopping,offline_swipe,low,1
HCC_00223,0.3,135.0,140.0,0.964,9.0,0,7.0,13658.0,2,9.2,Blue,shopping,offline_swipe,medium,0
HCC_00224,0.9,428.0,497.0,0.862,26.0,2,15.0,7046.0,6,7.3,Blue,travel,app,low,1
HCC_00225,0.9,299.0,332.0,0.901,16.0,0,53.0,7393.0,8,11.1,Red,travel,offline_nfc,low,0
HCC_00226,0.6,32.0,74.0,0.431,5.0,1,38.0,8356.0,2,0.4,Blue,shopping,offline_swipe,medium,0
HCC_00227,0.4,197.0,147.0,1.343,13.0,0,51.0,3705.0,9,1.7,The,travel,offline_nfc,low,0
HCC_00228,1.5,153.0,222.0,0.688,10.0,1,103.0,21821.0,4,0.8,Red,dining,app,medium,1
